datetime,open,high,low,close,volume
2025-12-07 14:00:00,0.19879,0.19904,0.18903,0.19218,27467518
2025-12-07 15:00:00,0.19209,0.19793,0.18901,0.19596,18744877
2025-12-07 16:00:00,0.19604,0.19604,0.187,0.1932,22013815
2025-12-07 17:00:00,0.19318,0.19679,0.18901,0.1952,21953318
2025-12-07 18:00:00,0.19512,0.20853,0.19302,0.20794,28561504
2025-12-07 19:00:00,0.20793,0.21233,0.19917,0.20488,20599117
2025-12-07 20:00:00,0.20482,0.20776,0.196,0.1988,14397964
2025-12-07 21:00:00,0.19882,0.2027,0.19096,0.19206,12598840
2025-12-07 22:00:00,0.192,0.192,0.17421,0.17612,25296042
2025-12-07 23:00:00,0.17601,0.18294,0.15831,0.1796,55443093
2025-12-08 00:00:00,0.17961,0.20676,0.17318,0.1993,50757044
2025-12-08 01:00:00,0.1992,0.216,0.19835,0.20565,31102588
2025-12-08 02:00:00,0.2057,0.2072,0.19737,0.20305,15869722
2025-12-08 03:00:00,0.20302,0.20888,0.19899,0.20679,12596117
2025-12-08 04:00:00,0.20673,0.20673,0.1978,0.19872,8608378
2025-12-08 05:00:00,0.19881,0.21299,0.19854,0.20944,12906958
2025-12-08 06:00:00,0.20949,0.22588,0.19901,0.21255,33993990
2025-12-08 07:00:00,0.2126,0.2138,0.20684,0.20744,15164865
2025-12-08 08:00:00,0.20741,0.21183,0.20347,0.20757,11514088
2025-12-08 09:00:00,0.20757,0.228,0.20679,0.2256,17402879
2025-12-08 10:00:00,0.22567,0.25308,0.22418,0.24859,66897368
2025-12-08 11:00:00,0.24853,0.26659,0.23475,0.25715,134664664
2025-12-08 12:00:00,0.25719,0.2611,0.23912,0.24742,68965062
2025-12-08 13:00:00,0.24734,0.27,0.24117,0.26365,70833101
2025-12-08 14:00:00,0.2637,0.27889,0.25708,0.26264,132088798
2025-12-08 15:00:00,0.26271,0.2815,0.249,0.2657,125822438
2025-12-08 16:00:00,0.2657,0.28741,0.26358,0.27298,120141915
2025-12-08 17:00:00,0.27297,0.3142,0.27229,0.29239,140154535
2025-12-08 18:00:00,0.29239,0.3065,0.27934,0.29572,112108785
2025-12-08 19:00:00,0.29571,0.30377,0.28469,0.29194,76706316
2025-12-08 20:00:00,0.29201,0.29895,0.282,0.29344,63876886
2025-12-08 21:00:00,0.29345,0.303,0.28704,0.29545,54559231
2025-12-08 22:00:00,0.29553,0.308,0.2902,0.29988,59769187
2025-12-08 23:00:00,0.29993,0.3292,0.2957,0.29897,93146249
2025-12-09 00:00:00,0.29897,0.31091,0.294,0.2994,59325541
2025-12-09 01:00:00,0.2994,0.313,0.29808,0.30561,47564693
2025-12-09 02:00:00,0.30562,0.30678,0.2653,0.27229,108288094
2025-12-09 03:00:00,0.27216,0.28312,0.26836,0.27304,49056936
2025-12-09 04:00:00,0.27297,0.282,0.26052,0.27402,60475332
2025-12-09 05:00:00,0.27399,0.27399,0.26107,0.26613,47151069
2025-12-09 06:00:00,0.2663,0.26923,0.25476,0.26302,43960796
2025-12-09 07:00:00,0.26299,0.27713,0.25944,0.26302,38773110
2025-12-09 08:00:00,0.26302,0.27143,0.26032,0.26308,30540798
2025-12-09 09:00:00,0.26307,0.26979,0.26059,0.26159,27863352
2025-12-09 10:00:00,0.26162,0.26445,0.25,0.26338,39332032
2025-12-09 11:00:00,0.26344,0.26714,0.25872,0.26426,29827753
2025-12-09 12:00:00,0.26421,0.27475,0.26038,0.26747,35007272
2025-12-09 13:00:00,0.26742,0.27198,0.24383,0.24696,40469224
2025-12-09 14:00:00,0.24702,0.25493,0.24327,0.25136,30477876
2025-12-09 15:00:00,0.25143,0.2565,0.24752,0.25238,20109720
2025-12-09 16:00:00,0.25239,0.25472,0.24569,0.25053,18668871
2025-12-09 17:00:00,0.2505,0.25233,0.23513,0.24119,26527117
2025-12-09 18:00:00,0.24124,0.24563,0.23709,0.23818,14141853
2025-12-09 19:00:00,0.23821,0.2395,0.22864,0.23393,21670622
2025-12-09 20:00:00,0.234,0.24134,0.2255,0.23802,18883542
2025-12-09 21:00:00,0.23805,0.23865,0.223,0.2257,14271814
2025-12-09 22:00:00,0.2257,0.22785,0.22202,0.2222,9355650
2025-12-09 23:00:00,0.2222,0.22744,0.22,0.22067,13700643
2025-12-10 00:00:00,0.22072,0.2264,0.21557,0.22387,17934988
